Data operacji;Typ;Tytul;Kwota;Notatka;Nazwa kategorii;Nazwa kategorii;Nazwa konta;Tagi
08-03-2018;1;;10.96;;Jedzenie;;Konto osobiste;
09-03-2018;1;;14.18;;Jedzenie;;Konto osobiste;
09-03-2018;1;;14.84;;Jedzenie;;Konto osobiste;
09-03-2018;1;;22.04;;Jedzenie;;Konto osobiste;
10-03-2018;1;;7.17;;Jedzenie;;Konto osobiste;
10-03-2018;1;;7.97;;Jedzenie;;Konto osobiste;
11-03-2018;1;;9.95;;Jedzenie;;Konto osobiste;
12-03-2018;1;;21.93;;Jedzenie;;Konto osobiste;
12-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
12-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
13-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
13-03-2018;1;;16.16;;Jedzenie;;Konto osobiste;
13-03-2018;1;;9.78;;Jedzenie;;Konto osobiste;
14-03-2018;1;;3.20;;Jedzenie;;Konto osobiste;
14-03-2018;1;;8.46;;Jedzenie;;Konto osobiste;
15-03-2018;1;;3.20;;Jedzenie;;Konto osobiste;
15-03-2018;1;;10.97;;Jedzenie;;Konto osobiste;
16-03-2018;1;;21.85;;Jedzenie;;Konto osobiste;
18-03-2018;1;;21.00;;Restauracja;Jedzenie;Konto osobiste;
19-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
19-03-2018;1;;21.61;;Jedzenie;;Konto osobiste;
20-03-2018;1;;9.70;;Jedzenie;;Konto osobiste;
20-03-2018;1;;520.00;;Dom;;Konto osobiste;
20-03-2018;1;;14.37;;Jedzenie;;Konto osobiste;
20-03-2018;0;;1350.00;;Wyp�ata;Praca;Konto osobiste;
21-03-2018;1;;19.19;;Jedzenie;;Konto osobiste;
21-03-2018;1;;8.10;;Jedzenie;;Konto osobiste;
23-03-2018;1;;30.00;;Telefon;Elektronika;Konto osobiste;
23-03-2018;1;;12.99;;Kosmetyki;Zdrowie i uroda;Konto osobiste;
23-03-2018;1;;9.06;;Jedzenie;;Konto osobiste;
23-03-2018;1;;161.30;;Kurtki;Odzie�;Konto osobiste;
23-03-2018;1;;24.00;;Jedzenie;;Konto osobiste;
25-03-2018;0;Na telefon ;150.00;;;;Konto osobiste;
26-03-2018;1;;10.81;;Jedzenie;;Konto osobiste;
26-03-2018;1;;5.18;;Jedzenie;;Konto osobiste;
26-03-2018;1;;21.00;;Kino i teatr;Rozrywka;Konto osobiste;
27-03-2018;1;;59.70;;Restauracja;Jedzenie;Konto osobiste;
27-03-2018;1;;16.64;;Jedzenie;;Konto osobiste;
28-03-2018;1;;14.53;;Jedzenie;;Konto osobiste;
28-03-2018;1;;15.00;;Fryzjer;Zdrowie i uroda;Konto osobiste;
29-03-2018;1;;4.20;;Gry;Rozrywka;Konto osobiste;
29-03-2018;1;;155.00;;Telefon;Elektronika;Konto osobiste;
03-04-2018;1;;34.94;;Jedzenie;;Konto osobiste;
04-04-2018;1;;7.76;;Jedzenie;;Konto osobiste;
04-04-2018;1;;18.37;;Jedzenie;;Konto osobiste;
05-04-2018;1;Bilet;120.00;;;;Konto osobiste;
05-04-2018;1;;10.88;;Jedzenie;;Konto osobiste;
05-04-2018;1;;2.00;;Jedzenie;;Konto osobiste;
06-04-2018;1;;60.00;;Koszulki;Odzie�;Konto osobiste;
06-04-2018;1;;21.50;;Restauracja;Jedzenie;Konto osobiste;
07-04-2018;1;;4.00;;Jedzenie;;Konto osobiste;
09-04-2018;1;;22.04;;Jedzenie;;Konto osobiste;
09-04-2018;1;;4.50;;Jedzenie;;Konto osobiste;
10-04-2018;1;;18.59;;Jedzenie;;Konto osobiste;
11-04-2018;1;;18.85;;Restauracja;Jedzenie;Konto osobiste;
11-04-2018;1;;13.26;;Jedzenie;;Konto osobiste;
12-04-2018;1;;3.59;;Jedzenie;;Konto osobiste;
12-04-2018;1;;4.10;;Jedzenie;;Konto osobiste;
13-04-2018;1;;4.04;;Jedzenie;;Konto osobiste;
13-04-2018;1;;14.12;;Jedzenie;;Konto osobiste;
13-04-2018;1;;90.00;;Bielizna;Odzie�;Konto osobiste;
13-04-2018;1;;11.50;;Kosmetyki;Zdrowie i uroda;Konto osobiste;
13-04-2018;1;;5.00;;Restauracja;Jedzenie;Konto osobiste;
14-04-2018;1;;14.37;;Jedzenie;;Konto osobiste;
14-04-2018;1;;8.93;;Jedzenie;;Konto osobiste;
14-04-2018;1;;28.85;;Jedzenie;;Konto osobiste;
16-04-2018;1;;9.55;;Jedzenie;;Konto osobiste;
17-04-2018;1;;3.78;;Jedzenie;;Konto osobiste;
17-04-2018;1;;22.99;;Jedzenie;;Konto osobiste;
18-04-2018;1;;10.98;;Jedzenie;;Konto osobiste;
18-04-2018;1;;5.06;;Jedzenie;;Konto osobiste;
19-04-2018;1;;4.50;;Jedzenie;;Konto osobiste;
19-04-2018;1;;7.48;;Jedzenie;;Konto osobiste;
19-04-2018;1;;12.00;;Restauracja;Jedzenie;Konto osobiste;
20-04-2018;1;;9.00;;Restauracja;Jedzenie;Konto osobiste;
20-04-2018;1;;532.00;;Dom;;Konto osobiste;
20-04-2018;0;;1350.00;;Wyp�ata;Praca;Konto osobiste;
20-04-2018;1;;8.00;;Jedzenie;;Konto osobiste;
22-04-2018;1;;10.00;;Rozrywka;;Konto osobiste;
22-04-2018;1;;10.70;;Jedzenie;;Konto osobiste;
23-04-2018;1;;3.69;;Jedzenie;;Konto osobiste;
23-04-2018;1;;5.00;;Jedzenie;;Konto osobiste;
23-04-2018;1;;2.29;;Jedzenie;;Konto osobiste;
23-04-2018;1;;6.68;;Jedzenie;;Konto osobiste;
24-04-2018;1;;21.32;;Jedzenie;;Konto osobiste;
24-04-2018;1;;15.00;;Fryzjer;Zdrowie i uroda;Konto osobiste;
24-04-2018;1;;1.80;;Jedzenie;;Konto osobiste;
25-04-2018;1;;6.67;;Jedzenie;;Konto osobiste;
25-04-2018;1;;18.25;;Restauracja;Jedzenie;Konto osobiste;
25-04-2018;1;;3.18;;Jedzenie;;Konto osobiste;
25-04-2018;1;;30.00;;Fotograf;;Konto osobiste;
26-04-2018;1;;5.98;;Jedzenie;;Konto osobiste;
26-04-2018;1;;80.00;;Gry;Rozrywka;Konto osobiste;
27-04-2018;1;;27.50;;Restauracja;Jedzenie;Konto osobiste;
01-05-2018;0;;50.00;;;;Konto osobiste;
06-05-2018;1;;16.00;;Jedzenie;;Konto osobiste;
07-05-2018;1;;11.46;;Jedzenie;;Konto osobiste;
07-05-2018;1;;20.00;;Jedzenie;;Konto osobiste;
07-05-2018;1;;4.86;;Jedzenie;;Konto osobiste;
07-05-2018;1;;22.70;;Kino i teatr;Rozrywka;Konto osobiste;
08-05-2018;1;;25.14;;Jedzenie;;Konto osobiste;
09-05-2018;1;;16.01;;Restauracja;Jedzenie;Konto osobiste;
09-05-2018;1;;18.14;;Jedzenie;;Konto osobiste;
09-05-2018;1;;4.50;;Jedzenie;;Konto osobiste;
10-05-2018;1;;11.40;;Gry;Rozrywka;Konto osobiste;
10-05-2018;1;;20.00;;Autobus;Samoch�d;Konto osobiste;
10-05-2018;1;;4.60;;Jedzenie;;Konto osobiste;
12-05-2018;1;;7.00;;Jedzenie;;Konto osobiste;
14-05-2018;1;;30.00;;Telefon;Dom;Konto osobiste;
14-05-2018;1;;10.00;;Jedzenie;;Konto osobiste;
15-05-2018;1;;12.55;;Jedzenie;;Konto osobiste;
15-05-2018;1;;4.50;;Jedzenie;;Konto osobiste;
16-05-2018;1;;18.37;;Jedzenie;;Konto osobiste;
16-05-2018;1;;2.50;;Jedzenie;;Konto osobiste;
16-05-2018;1;;11.04;;Jedzenie;;Konto osobiste;
17-05-2018;1;;19.00;;Kino i teatr;Rozrywka;Konto osobiste;
17-05-2018;1;;7.50;;Jedzenie;;Konto osobiste;
17-05-2018;1;;4.00;;Jedzenie;;Konto osobiste;
17-05-2018;1;;4.98;;Jedzenie;;Konto osobiste;
18-05-2018;1;;34.30;;Jedzenie;;Konto osobiste;
19-05-2018;1;;713.00;;Dom;;Konto osobiste;
19-05-2018;0;;1350.00;;Wyp�ata;Praca;Konto osobiste;
19-05-2018;1;;38.50;;Jedzenie;;Konto osobiste;
21-05-2018;1;;13.50;;Jedzenie;;Konto osobiste;
21-05-2018;1;;2.50;;Jedzenie;;Konto osobiste;
21-05-2018;1;;12.50;;Restauracja;Jedzenie;Konto osobiste;
22-05-2018;1;;26.51;;Jedzenie;;Konto osobiste;
22-05-2018;1;;17.11;;Jedzenie;;Konto osobiste;
23-05-2018;1;;3.88;;Jedzenie;;Konto osobiste;
23-05-2018;1;;10.65;;Jedzenie;;Konto osobiste;
24-05-2018;1;;10.70;;Jedzenie;;Konto osobiste;
24-05-2018;1;;22.61;;Jedzenie;;Konto osobiste;
25-05-2018;1;;5.96;;Jedzenie;;Konto osobiste;
25-05-2018;1;;2.50;;Jedzenie;;Konto osobiste;
25-05-2018;1;;25.09;;Jedzenie;;Konto osobiste;
26-05-2018;1;;26.64;;Jedzenie;;Konto osobiste;
28-05-2018;1;;2.50;;Jedzenie;;Konto osobiste;
28-05-2018;1;;14.64;;Jedzenie;;Konto osobiste;
28-05-2018;1;;40.00;;Jedzenie;;Konto osobiste;
28-05-2018;1;;3.40;;Jedzenie;;Konto osobiste;
29-05-2018;1;;2.50;;Jedzenie;;Konto osobiste;
29-05-2018;1;;3.50;;Jedzenie;;Konto osobiste;
29-05-2018;1;;5.37;;Jedzenie;;Konto osobiste;
30-05-2018;1;;5.00;;Jedzenie;;Konto osobiste;
30-05-2018;1;;5.39;;Jedzenie;;Konto osobiste;
30-05-2018;1;;5.37;;Jedzenie;;Konto osobiste;
30-05-2018;1;;15.74;;Jedzenie;;Konto osobiste;
30-05-2018;1;;2.00;;Jedzenie;;Konto osobiste;
